                0                 1                 2                 3                 4
             vary            strain            remain              ctls        inhibition
             even         protozoan       coinfection               dna               fgs
            first            shiraz       specificity         treatment           nucleos
     introduction             alone           subject     phospholipase           patient
            phone          attitude       qualitative          syndrome             major
            world        importance          negative              lung      neurological
          reverse           patient        importance         treatment         postnatal
           orally           adverse               new           related         inhibitor
      interaction          infected       independent         interfere         frequency
          america    antiretroviral            normal           control         influence
           immune         infection            immune      substitution           ability
        adherence         performed             level              case            people
          patient                tb               hdv               hbv              data
          feature        acceptance           dentist        represents   cryptosporidium
          however       traditional        importance            change        extraction
         increase               use                pr              mode           contact
             load              acid              lack          resident              test
           worker       exaggerated          sampling          infected           dentist
             city           limited      transitional               dna      successfully
            range          pressure          negative               two        metabolite
           region               hiv             codon                le         sequenced
          account           genetic              drug          increase            choice
           injury               hiv         regarding          directly          relative
         compared         assistant            remain              host               dna
 immunodeficiency               tdf           reverse       interleukin     consecutively
         response        disoproxyl             human     phospholipase               men
              ltr           insulin          informed          clinical          reliable
         decrease        regulating             south               one         hepatitis
    administrated            mainly            occult              week        medication
              ddi        medication       interaction        polymerase             prior
        influence               drm immunocompromised             found         validated
         response           reverse         detection          response      heterosexual
           strain             could         frequency       combination         immigrant
            south                tb               use                tb         challenge
          therapy           pattern              drug         detection     significantly
              hiv          released     comprehensive             level         attendant
            study                tb            stigma       vaccination          isolates
          liguria         increased           concern           dentist         hepatitis
              hiv         increased          response           october        manageable
         enrolled         exceeding         assistant                pr               hbv
          illness           patient            sought      respectively          examined
           active        researcher         infection             level              acid
            haart      heterosexual               drm            region         cirrhosis
       diarrhoeal          syndrome           pattern               new       specificity
    comprehensive            access          response         concluded          resulted
         severity              iran       progression               hbv      neurological
           sought              cell epidemiologically               ass        associated
        intention          pressure           pattern  immunodeficiency       qualitative
         specific               aid       descriptive       immunologic              cart
             jail          infected               ten             world            subset
     simultaneous               aid     transcriptase               ten         evaluated
            solid         evaluated             italy               men            injury
        volunteer       interaction            sample        laboratory            occult
             risk      participated               two              data             italy
          surface         ethiopian       constituted              plwh        contribute
               le          delivery   cryptosporidium        management          protease
         multiple      polymorphism epidemiologically         treatment         evolution
            order              jail          analyzed        importance             natal
          remains        laboratory          recorded           perform       accelerates
           region        consequent       consequence         knowledge               iii
           impede               new           however        researcher            orally
              ide              case         evaluated          fumarate           patient
          therapy        commercial      demonstrated              city       specificity
              may              tbas          pressure         ethiopian      electrospray
     complication              cart          contrast             study           variety
           within              stop         conducted     retrospective            source
              hcv               may            occult        documented        represents
      accelerated             audio               ide                tb          clinical
          outcome         immigrant              five             staff        insecurity
          patient          province              york              used            access
          concern            people        importance       interleukin               men
              fgs           studied         relevance         condition         hepatitis
          outcome           unclear         sequenced         tenofovir             level
          patient            access           feature             still            detect
           afford            worked             study          receptor           patient
             used            afford         increased            people          detected
          whether           outcome        thoroughly               fgs             italy
    consecutively        initiating      introduction               ltc             codon
             cart             hence          specific           therapy               art
               ir              good    characteristic              iran cryptosporidiosis
             iran           predict            sample                rt        management
       peripheral               men             human           disease            office
            blood           general           haartin        modulators        expression
    sedimentation            repeat           control                rt           pattern
             ctls         suggested        individual               hiv            injury
     hypothesized           service           subject               hiv               aim
        selective        homogenate              load             count            condom
              hiv           routine      particularly       interleukin              tbas
             ltcs            naÃ¯ve        increasing        expression           fitness
           survey           compare             seven               snp       synergistic
              ddi           liguria       accelerated     insufficiency               hiv
         moreover        inhibition               pcr             haart             italy
       medication         diarrhoea     retrospective          pressure               hiv
        hepatitis             basal           general            remain         suggested
            study          reaction        reciprocal               use      participated
        infection              ltrs       integration              pill           illness
         specific        individual           iranian             serum               men
              hiv         knowledge           pattern             prior           subject
       thoroughly           subject             liver             onset          enrolled
cryptosporidiosis          increase       descriptive             cause               aid
           social          presence          mutation          selected              acid
        evaluated            result      investigated        ionization              city
          advance               sex        perception        prevalence              case
     tuberculosis            dental        especially          resulted             phone
           formal         cirrhosis              mass           feature        documented
       importance  pharmacokinetics               ass        individual           concern
     tuberculosis           studied         adjusting              food       coinfection
          adverse          infected            effect           therapy        sequencing
epidemiologically        prevalence        acceptance           symptom        acceptable
              new              gene              cell                le             study
             tbas           changed         marseille              drug           country
            hilic        prediction            marker           limited               use
    concentration           develop          mutation      complication            impact
        drexelmed               hdv         determine    implementation                tb
           sample          hindered           feature          informed        reasonable
        knowledge      polymorphism           remains        individual              york
               sp           perform           perform           perform              acid
          treated      thematically         tenofovir            strain            result
            nnrti         adherence         postnatal          evolving               art
       acceptance              host            number              care        sequencing
           strain      transitional             haart               ltr               men
              men               ltc         treatment cryptosporidiosis         knowledge
            study             three      epidemiology               hiv            change
             mode              drug           dentist     retrospective           nucleos
            world           pattern             level               esi           october
            first             italy          fibrosis          analytes           whether
        sequenced            sexual           perform           evolved     retrospective
           change             virus            mutant              time        activation
         genotype             blood           patient             error            policy
             iran             human            marker         treatment         validated
        amplified         hepatitis           concern       accelerates              iran
             cell             seems        diarrhoeal             virus             prior
         informed               tat             group       coinfection         cirrhosis
       modulators           nucleos            detect        increasing        specialist
    questionnaire               ctl         adherence            people          province
              ass            impact        expression           compare                le
        completed           genetic        manageable      particularly       contracting
            virus            active           perform              drug     interquartile
         mutation       coinfection               ass            change         utilizing
      independent              tbas               pcr         immigrant          increase
           people              rate      particularly           pattern             study
      consequence               low              long          directly          equipped
            study        management           explore           reverse             alone
        incidence         naturally              cell            office              list
           defect            health          prisoner        percentage        determined
          disease      respectively          negative         hepatitis             serum
    phospholipase           collect              food            strain        presenting
           within    antiretroviral             seems          released            higher
       manageable              plwh           variant           applied           service
     investigated             liver           adverse         inhibitor              cart
           course          clinical             viral            cohort        manageable
   characteristic         intention             swarm    implementation          recorded
          patient              york          multiple       integration          required
    insufficiency             allow             found         drexelmed             phase
         resulted         increased         incidence               hdv              lung
          insulin           service              vary            people             theme
             cell            access     retrospective         potential              nrti
           number         conducted       exaggerated             italy            lavage
          concern           october        prevalence              ltcs            course
           stigma           outcome        population          utilized              also
        sequenced               two     mycobacterium   bronchoalveolar         hepatitis
       disoproxyl         precision              iran         influence         drexelmed
       telomerase              drug              tbas             audio          receptor
              ass              cell       fingerprint         technique        modulators
           marker             alone        reciprocal           outcome         intention
       addressing             world               ten            sought            result
        cytolytic               may      respectively         cirrhosis         intention
           method            afford              take          increase       considering
         mutation               hiv            sample         adherence              ltcs
          patient            europe         mechanism         ethiopian       immunologic
          therapy             haart             level          advanced               men
              hdv       considering              tbas         adherence          negative
           people         adherence              cell           subject          manually
            human          clinical         important          decrease     concentration
            viral        modulators            people          district   cryptosporidium
             many      demonstrated        contribute        sequencing              food
        treatment            strain           patient             study        proportion
       undergoing       consequence            recent             basal          dementia
         infected          improves              five       progression              drms
        potential              risk          zululand            dental               two
    comprehensive          clinical   cryptosporidium  immunodeficiency             genus
              may        impairment             using          december        individual
             line       independent               via           current              view
             risk        insecurity            linear           already           genetic
        adherence               hbv          negative        insecurity          mutation
              art            immune        documented            occult             group
          country                oh          position        individual          selected
          failure             group        lymphocyte       restoration           contact
             food              care          position          mutation        especially
       initiating        undergoing        activation           patient        associated
            serum            orally         abaqulusi       parasitosis          resident
              ddi         conducted        especially         tenofovir        disruptive
        diagnosed          nigerian            linked        telomerase           surface
            codon               tdf         evolution            active           changed
         activity          explored            status      complication            recent
       individual                oh            single               low      simultaneous
      supervision               pcr           therapy           serious            active
              snp        individual     transcriptase         determine     significantly
      coinfection           related          observed           control      heterosexual
             test            injury      introduction    characteristic            survey
     simultaneous        assessment       accelerated     determination         important
            found       parasitosis              ctls     sedimentation          resident
             main              acid         increased          absolute             major
              hiv        associated          northern      transitional         adherence
          disease               new           routine             aging              care
         improves               via     consecutively                tb         conducted
 pharmacokinetics              vary           therapy      polymorphism               snp
        evolution        nucleoside             among      electrospray     consecutively
               fg               hdv             italy             italy          examined
             thus           iranian           routine             group          function
      vaccination         assistant           surface           advance         surrogate
          related       specificity        commercial             liver     determination
        evaluated               sex               hiv           protein               ddi
       medication              test               hdv           perform           fitness
       assessment           general     comprehensive               may            faecal
              hiv          facility             audio         adjusting               ten
        volunteer               snp          addition        correlated           pattern
      combination             swarm          isolated               ltr            single
           region              well            sexual           therapy              test
            group           reverse            policy              data          acquired
          dentist           stained          decrease           country         assistant
       extraction      tuberculosis           central             audio             liver
             view               ddi           studied          position              care
        infection           patient         detection              good              drug
           single         pregnancy         marseille        population            evolve
       acceptable             virus              tool       combination             level
         absolute            silico               hbv            region     phospholipase
     polymorphism           applied               ass               may            column
         delivery             stool             limit    antiretroviral               men
           single            native        medication      demonstrated              cart
               le        documented             audio      epidemiology           patient
           active             staff          facility            orally         increased
          disease          severity          analytes              full      investigated
        hepatitis             study             study             nnrti            active
              tat               men              city             woman              food
       contribute       restoration               tat           illness             onset
              men             study         necessary              vary        addressing
              men         exceeding          activity               sex            region
  cryptosporidium              host         increased           compare          mutation
         increase             count     determination         collected           genetic
        infection            unique          isolates         protozoan        neurologic
     epidemiology        alteration             codon           achieve          specific
    significantly         adherence          continue        medication           contact
     transitional        individual       association           surface        researcher
          insulin        commercial             basal          reaction                tb
           result            dental            health            effect    distinguishing
           impact       considering         utilizing          received          fibrosis
          ability          acquired              data            higher       transcribed
             jail         hepatitis         relevance         attendant          increase
      integration          northern            unique           central               hiv
        technique          analytes              tool       synergistic    characteristic
            theme      hypothesized            impact        proportion            injury
              snp              york        individual    antiretroviral           country
              use         sequenced          increase         challenge         potential
     hypothesized              plan       specificity           limited             viral
          unclear         premature              ltcs        proportion           genetic
             risk             liver       combination        resistance             virus
         modified            social              city         condition               dna
          central         ethiopian               aid         condition           antigen
             cell         knowledge           context        commercial       consequence
        criterion          training      longitudinal             liver            result
            first      transmission         consisted           country          resulted
     additionally         abaqulusi                ir      transmission     misconception
              fgs          mutation           related               use         incidence
    sedimentation            mutant            immune            survey             group
    transcriptase        assessment         postnatal              case           service
       population         determine               hiv               hbv          acquired
         pressure            worker     misconception              york            survey
             food        telomerase               use       calibration     questionnaire
        hepatitis           primary             liver      respectively   cryptosporidium
            among           compare             using             italy              plan
              art           disease     questionnaire         treatment         developed
       especially            clinic          fibrosis           reverse               ass
      progression             virus               two              iran        modulators
      interaction              main     phospholipase        specialist          protease
           higher        containing                sp         detection        insecurity
         severity             haart       integration          prisoner               via
        detection               ass               use       integration           protein
        evolution           limited          absolute           related           service
          nucleos          required         knowledge              data              care
      independent       association         premature              jail          negative
              hiv             amino        undergoing     nonfunctional           however
            study       traditional              care      transmission        alteration
          therapy        practicing           dentist            impact        percentage
    mycobacterium         influence        acceptance        lymphocyte              food
          patient            sample           surface            factor               ltc
               oh               new               ltr          mutation     significantly
          compare         influence           outcome             swarm          manually
            three            europe      hypothesized              used        medication
          iranian             level              tbas        modulators         assistant
         spectrum        determined              care         technique         adherence
        knowledge       preexisting            worker              gene             level
      vaccination             stand           nucleos          specific           concern
         prisoner             hbsag           contact       accelerated           nucleos
          pattern             amino             first            clinic          counting
             tbas               use               aid             range            immune
        surrogate        insecurity         knowledge        represents          envelope
           worker        diarrhoeal           limited          resource        thoroughly
          feature               ass      investigated        population              lead
        infection      longitudinal            orally           service           perform
        technique         conducted    antiretroviral     demonstrating            dental
               ga            gained     phospholipase              cell        individual
        conducted        medication            occult               hiv          prisoner
          problem          envelope         evaluated         relevance        thoroughly
        suggested       restoration           reverse         suggested          continue
             cold             theme              care               aim               snp
            apart     mycobacterium           nucleos               hiv         regulates
       documented              time        alteration         condition              acid
      integration            status      transmission          increase           october
     participated               hbv               low          acquired       coinfection
     simultaneous         diagnosed            unique      thematically               aim
      interaction               snp        containing        correlated         increased
       assessment            linked           dentist               hdv        increasing
         addition         evolution               hiv             seems         infection
         district               ltr         challenge       coinfection             italy
           unique         evolution     comprehensive        containing           altered
       lymphocyte               two          prisoner          reported             level
    determination               aim           patient       supervision        prevalence
              hbv            method        assessment          recorded               art
         observed               tat              time           therapy          required
         received              food            recent       restoration      transmission
             mode       supervision         challenge            change    antiretroviral
        infection             focus           control            strain         inhibitor
          primary         knowledge          presence         evaluated           insulin
          collect              cell            cohort            dental            within
              hiv        perception            effect             class         activated
       specialist              drms              gene    characteristic             phase
    questionnaire             group     proliferative              ltrs               two
              tdf         infection               ass        nongenetic              cell
          testing        addressing        individual          colinear           patient
           cohort        lymphocyte           studied         activated       mononuclear
            theme             paper             virus          analyzed           patient
           termed              cell             faced            remain              plan
               le               hbv           outcome       exaggerated          counting
         relation         technique          isolates         determine             human
              new         amplified         frequency          infected              show
         relation           october       parasitosis            occult              jail
          surface           england            office          response            belief
            onset       progression        prevalence            method             least
         mutation      organization        management        reciprocal           surface
       extraction            sector           general               hcv           country
              ass         frequency      thematically               ddi             still
        precision            region              york         threshold             level
     demonstrated               new           control      participated            result
            onset           patient             human         consisted              site
           access             faced             birth     administrated              lead
            virus      polymorphism             group          clinical           patient
         released               ten          practice          mutation               ddi
           dental        resistance         increased           haartin             world
     heterosexual                tb              cell             north            region
           active       unscheduled              tbas              risk              five
             tool               men        expression              care      hypothesized
       resistance             among            marker            health            cohort
       identified           pattern               sex            method         currently
             list               ass         immigrant     nonfunctional            region
        completed          analyzed           outcome            stigma        laboratory
         decrease         infection             phone             study              also
     longitudinal           patient              area             chain           pattern
           within              site    implementation        experience               one
          feature              mode           whether         currently      epidemiology
      fingerprint           closely          negative              case       preexisting
        incidence            strain            shiraz          pressure          protease
            alone        especially              cell             genus         assistant
epidemiologically                tb          selected              tbas      tuberculosis
          patient       immunologic         diagnosed       progression              cart
      transcribed     insufficiency               men            people          analysis
      interaction        insecurity            dental    antiretroviral            recent
             year      complication            linear                pr          response
       acceptable            apulia      hypothesized               ass        prevalence
           unique       development     transcriptase         adherence              cell
         fibrosis               ide          relative        modulators           patient
       laboratory              tool         diagnosed           context           patient
           injury             blood           poverty       coinfection           variant
        relevance         knowledge       exaggerated          clinical            people
            count              host       traditional      concentrated         important
    comprehensive        laboratory        homogenate         diarrhoea            cohort
            level             solid             focus         incidence        disoproxyl
          england      tuberculosis               aid       transcribed        population
             area        population               may      polymorphism          infected
        catchment            recent           however         adherence        contribute
              ass            portal              jail       calibration          increase
        challenge           surface          spectrum           remains          negative
              hbv               hdv         detection     significantly         persisted
       homogenate             found           whether            gather       accelerates
             ltcs        prevalence          increase                fg              used
            among          explored       coinfection            gather             liver
          finding         inhibitor          compared        increasing             cause
      participant             virus           concern           patient       descriptive
        immigrant              acid            sought               may               hiv
           injury        lymphocyte         amplified           dentist               ass
       contribute               ten           feature               sex           medical
            clone        individual           suggest  pharmacokinetics     phospholipase
        validated           failure           country             limit       recognition
            aimed      participated        laboratory               ass    antiretroviral
             jail        lymphocyte          modified           problem           however
            class           symptom           support              vary       considering
          genomic           problem        extraction               aid               hbv
          perform             codon     proliferative           concern      heterosexual
        detection         adherence          mutation          reaction           liguria
          outcome         increased             cause            portal      intervention
          limited      electrospray         consisted       specificity              test
         analyzed             human         amplified        prevalence         evaluated
         northern            marker        modulators              vary       interaction
           cohort               snp              york           patient         worldwide
         northern          released              drug            sector             onset
             role          directly              plan               hdv          delivery
             cell           variant            people      transmission         cirrhosis
        naturally             north         conducted       disposition         knowledge
       addressing               ass               hiv          advanced              lead
          applied         volunteer               two       restoration         amplified
            solid           evolved             haart            single          district
     concentrated           related          informed           serious            higher
       telomerase        inhibition            living            useful   cryptosporidium
             jail     mycobacterium          colinear          resource        importance
         increase               men              part            worked              week
           linked          protease        increasing            marker            dental
     demonstrated             paper        nucleotide     questionnaire            worker
          therapy         increased        specialist               hiv        individual
              may           remains     comprehensive             study         sequenced
            phone          reaction         regarding      epidemiology               snp
          patient        determined          identify        neurologic          explored
            among              user      neurological            higher         exceeding
         district         volunteer               tat            access             study
           marker         hepatitis       restoration      hypothesized               aim
      exaggerated          required             count              area             serum
             cart             human             major             study           symptom
              men           perform            mainly           england               ide
            staff               two          delivery        metabolite         intention
          therapy           patient              even          isolated            worked
             risk           dentist             woman         increased           adverse
       modulators              plwh        telomerase             focus      hypothesized
   antiretroviral              cell           outcome              drug                rt
        regarding               men          northern        diarrhoeal           patient
        inhibitor              tbas           reverse            people               ddi
            human               hbv         knowledge           perform          training
           policy           disease               aid         assistant         criterion
     participated              cold              year               use         protozoan
  bronchoalveolar           western           unclear                le      concentrated
        amplified           limited          zululand          reported        assessment
            seems               may               hdv          prepared           adverse
             view            occult              cold             count             amino
        hepatitis      transitional               may             solid            belief
   characteristic      complication            strain           predict              food
        validated             amino        respondent              show       progression
            aging         surrogate           patient     retrospective          sequence
       reasonable       accelerates           dentist             blood           patient
             time              even            strain          delivery           reverse
           linked              drug           related        extraction          reaction
       reciprocal              risk         knowledge          response            recent
            liver        individual          facility           patient               ass
              hiv           however        prevalence         infection               ide
             ltcs               may         infection            effect          improves
           occult              cell         precision        manageable        associated
              hiv               hcv          explored           patient         immigrant
       medication        neurologic       participant            normal       fingerprint
    transcriptase                tb       parasitosis               via               hbv
     polymorphism          mutation         immigrant        prevalence           context
        adherence           current         infection    antiretroviral           altered
     participated              cell        prevalence         knowledge          required
         relation               hcv       considering       accelerates             amino
        separated         currently             error              tbas              tbas
       population        peripheral              drug       determinant            region
          however        thoroughly          colinear              view         mechanism
         envelope      transmission            people              acid           outcome
       individual           remains              mode             could              tbas
        technique         diarrhoea        laboratory              nrti       accelerates
           evolve              tbas immunocompromised           control              nrti
     participated                sp            immune         detection             three
       importance          zululand            faecal          compared         postnatal
         prisoner          isolated         inhibitor       association           problem
         decrease             major               snp       coinfection               hdv
           strain             natal            factor     phospholipase           feature
         position               aid          position              care   cryptosporidium
  cryptosporidium           concern             hbsag        medication           changed
          england       transcribed           central            formal        undergoing
      interaction             liver             using             aimed              also
        potential                pr       restoration               via        medication
          however            social               hiv             group              vary
          therapy         concluded           patient             seems        diarrhoeal
         analysis           advance         surrogate          increase              mode
     hypothesized       interacting  immunodeficiency             phase          clinical
              ass            health               two               may          training
         increase        population            remain           compare        individual
              ide        contribute               hiv     sedimentation        expression
          support            normal           routine             haart               aid
        incidence              four               use           limited        especially
       impairment           perform          advanced        prevalence         frequency
             mass           whether         treatment       immunologic         diagnosed
          service              vary             seven           testing   transcriptional
    mycobacterium             nnrti           disease              cart     demonstrating
         pressure            afford         validated            belief         cirrhosis
             drug               sex               fgs              care             blood
       especially             liver              drug            afford        laboratory
           marker              thus          compared          increase        neurologic
              snp     transcriptase             error       transcribed           america
 immunodeficiency             human           liguria           changed         relevance
             city  immunodeficiency             study        management       utilization
            hbsag              list                le           illness       combination
          support             haart          position            injury     transcriptase
              tat            source          explored          resident              care
    retrospective            belief           liguria              tbas               hiv
           cohort            detect               hiv           therapy         collected
     transmission            afford             major      investigated           finding
        assistant           insulin        initiating           surface        undergoing
            prior               new             among            region          moderate
      progression            dental          released            subset              cart
        worldwide             viral         necessary           changed         threshold
          pattern          required             nnrti          directly               aim
            hilic         hepatitis            sought            afford        laboratory
          however         expansion              gene      electrospray           control
       peripheral         developed               ddi      complication           outcome
         enrolled         challenge         amplified          presence           england
       neurologic             limit               may           general       considering
              env        laboratory         mechanism            silico      heterosexual
            cause            recent           outcome        specialist         increased
           unique        addressing           perform  immunodeficiency           related
          surface        specialist        consequent               hiv         completed
      interacting         ethiopian           concern           reverse        documented
              fgs         diagnosis          activity       contracting             world
         negative         surrogate      downmodulate              lung              host
            cause            effect              ctls              full               esi
          nucleos               snp          training          district               hbv
       regulating        prevalence             level        percentage          observed
             data              case          required              drug       participant
             vary         influence           genetic            highly               hiv
     demonstrated          specific         validated       interaction             cause
              ltr          released              acid              york           ability
     transmission           protein           explore     mycobacterium           central
         decrease         condition           support               men             first
      recognition           october               ten             birth            lavage
             plan         inhibitor              view          reliable            afford
      intensified               new          delivery               fgs            active
        inhibitor               hiv              host           whether             study
             york              lead        polymerase                tb     misconception
   distinguishing              area         condition         diarrhoea              gene
              men             error        predicting             study              came
        hepatitis           changed                tb               may    implementation
          reverse         detection           compare          epidemic         conducted
         released              test          december             seems     mycobacterium
            curve           genetic             count              gene           patient
        adherence        ionization       fingerprint       disposition        containing
       inhibition           surface             using          compared          analyzed
            haart       responsible      demonstrated          modified           subject
             plan               hbv        inhibition               fgs          evolving
