Doc No.,Order,Label,BM25 Score,Title,Abstract
Doc No.11,12935,positive/labeled,22.381634,Serum leptin concentrations in human immunodeficiency virus-infected men with low adiposity.,"The product of the obese gene (ob) is the protein leptin, which is synthesized in and secreted from adipocytes. Fasting serum leptin concentrations are closely related to body fat content and are higher in obese than in normal-weight individuals. Leptin may contribute to body weight regulation. Overproduction of leptin in certain pathologic conditions such as acquired immunodeficiency syndrome (AIDS) might in principle contribute to the low body fat content associated with body wasting. We measured fasting serum leptin levels by radioimmunoassay in individuals infected with the human immunodeficiency virus (HIV) and in a group of healthy lean men to determine whether HIV infection increases leptin levels. Thirteen HIV-infected men aged 26 to 50 years with a body mass index (BMI) of 15 to 26 kg/m2 and 4 to 24 kg body fat (7% to 29% body fat) had serum leptin levels (3.4 +/- 1.6 ng/mL) that were not elevated compared with the levels in 17 healthy men (4.0 +/- 1.4 ng/mL) matched for age (23 to 47 years), BMI (18 to 26 kg/m2), and body fat (5 to 21 kg; 9% to 28%). In both groups of men, serum leptin concentrations were correlated with percent body fat and body fat content (P < .001), and these relationships were not different between the two groups. In both groups, leptin concentrations were not correlated with lean body mass (P > or = .24). Energy intake in the HIV-infected men, assessed from 3-day intake records, was within the normal range. These findings extend the hypothesis that circulating leptin concentrations directly reflect adipose tissue mass, even in HIV-infected men with low body fat content. These findings do not support the hypothesis that HIV infection is associated with high circulating leptin concentrations, and suggest that low leptin levels do not stimulate food intake in HIV-infected individuals."
Doc No.12,17613,positive/labeled,21.678389,Anemia and HIV in the antiretroviral era: potential significance of testosterone.,"Anemia, the most common hematological disorder in human immunodeficiency virus (HIV) infection and acquired immunodeficiency syndrome (AIDS), is associated with decreased quality of life and survival. Hypogonadism is prevalent in advanced HIV disease, however, low testosterone levels have not been customarily implicated in HIV-associated anemia. This study was undertaken to determine whether there is a relationship between testosterone levels and androgen use with anemia in HIV, and to characterize other clinical correlates of HIV-associated anemia. This was a cross-sectional, observational study of 200 HIV-positive patients at a public hospital HIV clinic from July 2000 to August 2001. A written questionnaire detailed previous and current medication use, opportunistic infections, and malignancies. Hematological and virological parameters, testosterone, and erythropoietin levels were measured; CD4(+) T lymphocyte count and viral load nadir and peak levels were obtained from the computerized medical record. Anemia was defined as hemoglobin <13.5 g/dl in men and <11.6 g/dl in women. Twenty-four percent of women and 28% of men were anemic. Anemia was associated with lymphopenia (adjusted OR 4.0, 95% CI 1.36-11.80), high erythropoietin levels (adjusted OR 7.73, 95% CI 2.92-20.48), and low testosterone levels (adjusted OR 3.27, 95% CI 1.01-10.60). Anemia was negatively associated with female sex (adjusted OR 0.30, 95% CI 0.11-0.85), current antiretroviral therapy (adjusted OR 0.43, 95% CI 0.20-0.95), current androgen use (adjusted OR 0.20, 95% CI 0.05-0.84), and macrocytosis (adjusted OR 0.23, 95% CI 0.09-0.61). Low testosterone levels may have a positive association and supplemental androgens a negative association with anemia in HIV disease."
Doc No.13,16926,positive/labeled,20.51502,"Pharmacokinetics of a novel testosterone matrix transdermal system in healthy, premenopausal women and women infected with the human immunodeficiency virus.","The clinical consequences of androgen deficiency in human immunodeficiency virus (HIV)-infected women remain underappreciated. The pharmacokinetics of transdermally administered testosterone in premenopausal women and HIV-infected women have not been studied. In this study we compared the pharmacokinetics of a novel testosterone matrix transdermal system (TMTDS) in healthy premenopausal women and women infected with HIV. Eight menstruating HIV-infected women, 18-50 yr of age, who had been receiving stable antiretroviral therapy, including a protease inhibitor, for at least 12 weeks and nine healthy, menstruating women of comparable age were enrolled. After baseline sampling during a 24-h control period in the early follicular phase (days 1-6), two TMTDS patches were applied with an expected delivery rate of 300 microg testosterone daily over an application period of 3-4 days. After 72 h, the patches were removed, a second set of two patches was applied, and blood samples were drawn over 96 h. Baseline serum total and free testosterone levels were lower in HIV-infected women than in healthy women. A diurnal rhythm of testosterone secretion, with higher levels in the morning and lower levels in the late afternoon, was apparent in both groups of women. Free testosterone levels were in the midnormal range at baseline in healthy women and increased above the upper limit of normal during TMTDS application. In HIV-infected women, free testosterone levels were in the low normal range at baseline and rose into the upper normal range during patch application. Serum total testosterone levels increased into the midnormal range in HIV-infected women and into the upper normal range in healthy women during patch application. The mean increments in free and total testosterone levels were significantly lower in HIV-infected women than in healthy women. Testosterone bioavailability, expressed as the mean +/- SEM baseline-subtracted area under the total testosterone curve, was significantly greater in healthy women than in HIV-infected women [3323 +/- 566 ng/dL x h (115 +/- 20 nmol/L x h) vs. 1506 +/- 316 ng/dL x h (52 +/- 11 nmol/ L x h); P = 0.016]. Assuming a daily testosterone delivery rate of 300 microg/day, the apparent plasma clearance was significantly higher in HIV-infected women than in healthy women (2531 +/- 469 vs. 1127 +/- 217 L/day1 P = 0.022), respectively. There was no significant change from baseline in serum LH, sex hormone-binding globulin, and estradiol levels in either group. Serum FSH levels showed a greater decrease from baseline in healthy women. A regimen of two testosterone patches applied twice a week can maintain serum total and free testosterone levels in the mid- to upper normal range, respectively, in HIV-infected women with low testosterone levels. During TMTDS application, the increments in serum total and free testosterone levels are lower in HIV-infected women than in healthy women, presumably due to increased plasma clearance or decreased absorption. Further studies are needed to assess the effects of physiological androgen replacement in HIV-infected women."
Doc No.14,17682,positive/labeled,20.011368,Reduced testosterone levels in human immunodeficiency virus-infected women with weight loss and low weight.,"Risk factors for hypoandrogenemia among low-weight, human immunodeficiency virus (HIV)-infected patients are not known. Testosterone levels of 69 HIV-infected women with low weight and weight loss were compared with levels for 25 healthy, age- and body mass index-matched control subjects. HIV-infected subjects were of low weight, with a mean (+/- standard deviation) weight loss of -17.6% +/- 9.7% from preillness maximum, and 42% of HIV-infected subjects had a body mass index of <20 kg/m(2). Forty-nine percent of the HIV-infected population versus 8% of the control population exhibited low free testosterone levels (P<.001). Among HIV-infected women, when we controlled for chronic hepatitis status, age, and time of blood sampling, weight loss of >10% of maximum weight was a significant predictor of low free testosterone levels. Free testosterone levels did not differ by drug class or antiretroviral regimen. In conclusion, decreased androgen levels are common among HIV-infected women reporting significant weight loss, independent of exposure to antiretroviral medications."
Doc No.15,1797,positive/labeled,19.972008,Barriers to adherence to highly active antiretroviral therapy as expressed by people living with HIV/AIDS.,"The primary objective of this study was to gain a clearer understanding of the barriers to adherence to highly active antiretroviral therapy (HAART) faced by people living with HIV/AIDS (PLWHIV/AIDS) on Long Island, New York. Focus group, a qualitative research method, was used to study these barriers. The study was conducted in 1998 on Long Island, NY, at five institutions that provide services to 1700 PLWHIV/AIDS. Five focus groups were conducted with 6 to 13 PLWHIV/AIDS in each group, a total of 39 subjects. PLWHIV/AIDS identified eight common barriers to adherence to HAART. In descending order, the barriers include: (1) frequency and severity of side effects, (2) conflicts with daily routines, (3) dietary requirements, (4) frequency of taking medications, (5) number and dosage of medications, (6) psychosocial factors (i.e., stress, feeling good, and bad news), (7) pharmacy refills, and (8) physiological needs (i.e., sleep, hunger, or thirst). Many factors play a role in the success or failure of HAART, including preexisting drug resistance, drug-drug interactions, and the ability of PLWHIV/AIDS to adhere to a rigid and frequently changing medication regimen. The information gleaned from focus groups is limited in that it may not be generalized to a larger population with any known reliability. However, clinicians sensitive to barriers to adherence to HAART, including those identified by PLWHIV/AIDS in this study, may play a more proactive role in supporting adherence to the medication regimen, increasing the durability of effective viral suppression, decreasing morbidity and mortality, and decreasing the selection and transmission of resistant strains of HIV."
Doc No.16,10422,negative/unlabeled,19.960596,HIV and hepatitis C coinfection within the CAESAR study.,"The declining incidence of AIDS-related opportunistic diseases among people with HIV infection has shifted the focus of clinical management to prevention and treatment of comorbidities such as chronic liver disease. The increased risk of hepatitis C virus (HCV)-related advanced liver disease in people with HIV infection makes early HCV diagnosis a priority. To assess HCV prevalence and predictors of HIV/HCV coinfection, we have conducted a retrospective analysis of people enrolled in the CAESAR (Canada, Australia, Europe, South Africa) study, a multinational randomized placebo-controlled study of the addition of lamivudine to background antiretroviral therapy. The impact of HCV on HIV disease progression was also examined. Anti-HCV antibody testing on 1649 CAESAR study participants demonstrated a HIV/HCV coinfection prevalence of 16.1%, which varied from 1.9% in South Africa to 48.6% in Italy. The strongest predictor of HIV/HCV coinfection was HIV exposure category (P<0.0001), with odds ratios (ORs) compared to homosexual as follows: injecting drug use (IDU), 365 [95% confidence interval (CI): 179-742]; transfusion or blood products, 32.2 (95% CI: 15.2-67.6); homosexual and IDU, 22.9 (95% CI: 8.5-62.1). The prevalence of HIV/HCV was low (3.7%) among homosexual men without reported IDU. Other predictors of HIV/HCV coinfection were alanine aminotransferase (ALT), country of residence, ethnicity and stage of HIV disease. A history of IDU or ALT > or =40 U/L at baseline had a positive predictive value (PPV) of 35%, negative predictive value (NPV) of 96%, sensitivity of 82% and specificity of 71% for HIV/HCV coinfection. HIV disease progression was similar in HIV monoinfected and HIV/HCV coinfected patients. People with HIV and a history of IDU or elevated liver function tests should be targeted for HCV testing. The low prevalence of HIV/HCV coinfection among homosexual men without a history of IDU suggests low efficiency of sexual HCV transmission."
Doc No.17,15156,positive/labeled,19.918402,"Body habitus changes, metabolic abnormalities, osteopenia and cardiovascular risk in patients treated for human immunodeficiency virus infection.","The aim of this study was to evaluate the influence of three variables--protease inhibitors, stavudine, and the length of combined therapy--on body habitus changes, metabolic effects and bone mineral density in HIV patients treated with highly active antiretroviral therapy (HAART). The onset of possible cardiovascular involvement was considered. Forty HIV patients (29 men and 11 women, mean age 39.13 +/- 7.82 years, range 28-61 years) treated with HAART for 12-43 months were evaluated for fat, lean, bone tissues, immunohematological and cardiovascular alterations. The differences in fat/lean tissues and bone mineral density were evaluated at dual-energy X-ray absorptiometry (DEXA). Serum lipids and the CD4/CD8 T-cell counts were recorded. ECGs were taken every 6 months; color Doppler echocardiography and color Doppler ultrasounds of the carotid vessels were performed in close chronological sequence with the second DEXA. Statistical analyses included: Student's t-test, Wilcoxon test, and single-multiple regression analysis. Thirteen patients presented with fat loss, 7 fat accumulation, and 20 a combined form of both. The changes in the single body districts showed that the decrease in the limb fat is to be attributed to protease inhibitors, while none of the three variables was responsible for the decrease in the upper limb fat. The trunk weight increase was not significant. The decrease in the lean mass of the upper limbs is to be attributed to protease inhibitors, while none of the three variables was responsible for the increase in the lean mass of the upper and lower limbs. The decrease in bone mineral density was not significant. No treatment-related cardiovascular lesions were observed. In HIV patients treated with HAART for 12-43 months, the decrease in lower limb fat was due to protease inhibitors. Neither osteopenia nor cardiovascular diseases were observed during follow-up."
Doc No.18,11559,negative/unlabeled,19.726315,Weight loss and wasting in patients infected with human immunodeficiency virus.,"Weight loss and muscle wasting remain significant clinical problems, even in the era of potent antiretroviral therapy. In patients infected with human immunodeficiency virus (HIV), wasting, particularly loss of metabolically active lean tissue, has been associated with increased mortality, accelerated disease progression, loss of muscle protein mass, and impairment of strength and functional status. Factors that may contribute to wasting include inadequate intake, malabsorptive disorders, metabolic alterations, hypogonadism, and excessive cytokine production. Evidence now demonstrates that nutritional counseling and support, appetite stimulants, progressive resistance training, and anabolic hormones can reverse weight loss and increase lean body mass in HIV-infected patients. Despite a growing body of evidence on the importance of nutritional intervention to prevent wasting in adults, maintain growth velocity in children, and promote restoration of weight and lean body mass in stable, low-weight patients, no therapeutic guidelines currently exist for the management of weight loss and wasting in HIV-infected patients. Principles and guidelines for assessment and management of weight loss and wasting in patients with HIV/AIDS are presented."
Doc No.19,19990,positive/labeled,19.473783,Hepatitis C virus infection in individuals with or without human immunodeficiency virus type 1 infection.,"Serum specimens from 111 human immunodeficiency virus type 1 (HIV-1) infected and 183 HIV-1 seronegative patients were analysed for antibodies to hepatitis C virus (HCV), hepatitis B virus (HBV) and hepatitis A virus (HAV) by enzyme linked immunoassay (ELISA) and radioimmunoassay. Anti-HCV and anti-HBV antibodies were found in the vast majority (89 and 83%, respectively) of intravenous drug addicts (IVDA), independent of the type of drug abuse or whether the patients were HIV-1 infected or not. Anti-HAV antibodies were found in 60% of the IVDA. Anti-HCV antibodies were found in anti-HIV-1 positive homosexual men (14%) and anti-HIV-1 negative heterosexual persons (8%), but not in HIV-1 seronegative homosexual men. Also anti-HAV antibodies were found to a small extent in these groups. In contrast, anti-HBV antibodies were common in the homosexual men. The absorbance values of the positive reactions in the anti-HCV ELISA were lower for HIV-1 seropositive patients than those for HIV-1 seronegative subjects, particularly in the late stages of HIV-1 infection. These data suggest that HCV infection is transmitted as readily as HBV infection by intravenous drug abuse and that all three types of hepatitis virus infection are common in IVDA. Although transmission of HCV is primarily mediated by blood, sexual transmission may also occur. HIV-1 infection seems to be associated with unusually low levels of anti-HCV antibodies, especially in the late stages of HIV-1 infection."
Doc No.20,10896,negative/unlabeled,19.341373,Female to male transmission of human immunodeficiency virus type 1: risk factors for seroconversion in men.,"To determine the frequency and risk factors for female to male sexual transmission of human immunodeficiency virus type 1 (HIV-1), a prospective study was carried out in 422 men who had acquired a sexually transmitted disease (STD) from a group of prostitutes with a prevalence of HIV-1 infection of 85%. The initial seroprevalence of HIV among the men was 12%. 24 of 293 (8.2%) initially seronegative men seroconverted to HIV-1. Newly acquired infection was independently associated with frequent prostitute contact (risk ratio 3.2, 95% confidence interval 1.2-8.1), with the acquisition of genital ulcer disease (risk ratio 4.7, 95% confidence interval 1.3-17.0), and with being uncircumcised (risk ratio 8.2, 95% confidence interval 3.0-23.0). 96% of documented seroconversions occurred in men with one or both of the latter two risk factors. In a subgroup of 73 seronegative men who reported a single prostitute sexual contact, the frequency of HIV-1 infection was 8.2% during 12 weeks of observation. No man without a genital ulcer seroconverted. A cumulative 43% of uncircumcised men who acquired an ulcer seroconverted to HIV-1 after a single sexual exposure. These data indicate an extremely high rate of female to male transmission of HIV-1 in the presence of STD and confirm a causal relation between lack of male circumcision, genital ulcer disease, and susceptibility to HIV-1 infection."
