Term,Count,order,Probability
cohort,972,92.0,0.0019447818022845184
sample,988,548.0,0.001976794671457926
care,3201,71.0,0.00640457463900488
increase,1452,299.0,0.0029051678774867497
immunodeficiency,1792,288.0,0.0035854413474216635
prior,499,485.0,0.000998401357345653
antigen,377,45.0,0.0007543032298984192
observed,517,419.0,0.0010344158351657366
ltr,1420,362.0,0.0028411421391399344
inhibitor,1559,309.0,0.0031192539400839137
curve,502,142.0,0.001004403770315667
hindered,418,273.0,0.0008363362071552765
illness,541,284.0,0.0010824351389258481
persisted,223,446.0,0.00044617936410436997
cryptosporidium,2248,137.0,0.004497808118863783
nrti,911,414.0,0.0018227327385609015
collect,209,96.0,0.00041816810357763823
iranian,574,333.0,0.0011484616815960016
immigrant,827,285.0,0.001654665175400511
catchment,331,74.0,0.000662266231024872
backbone,292,62.0,0.0005842348624146908
impairment,283,291.0,0.0005662276235046488
bronchoalveolar,355,68.0,0.0007102855347849836
required,962,526.0,0.0019247737590511386
count,2095,131.0,0.004191685057393072
city,1255,85.0,0.002511009425789167
radical,370,499.0,0.0007402975996350533
sequencing,394,558.0,0.0007883169033951648
genus,568,256.0,0.0011364568556559737
blood,1402,67.0,0.0028051276613198506
nonfunctional,370,409.0,0.0007402975996350533
people,2213,440.0,0.004427779967546954
disease,1789,177.0,0.0035794389344516496
reliable,467,519.0,0.0009343756189988375
electrospray,442,192.0,0.000884355510915388
restoration,877,536.0,0.00175470539156741
diarrhoea,586,173.0,0.0011724713334760573
faecal,643,226.0,0.0012865171799063223
contact,573,121.0,0.0011464608772726636
responsible,370,535.0,0.0007402975996350533
isolated,409,334.0,0.0008183289682452345
telomerase,880,620.0,0.0017607078045374241
parasitosis,570,432.0,0.0011404584643026497
determination,524,164.0,0.0010484214654291025
mononuclear,461,390.0,0.0009223707930588096
worked,438,677.0,0.000876352293622036
training,732,638.0,0.0014645887646834027
swarm,555,609.0,0.00111044639945258
reciprocal,707,507.0,0.0014145686565999532
protein,864,493.0,0.0017286949353640163
dental,1917,156.0,0.0038355418878389114
zululand,314,685.0,0.0006282525575281264
pharmacokinetics,477,448.0,0.0009543836622322174
office,497,423.0,0.000994399748698977
serious,562,559.0,0.0011244520297159458
class,681,86.0,0.0013625477441931656
challenge,643,79.0,0.0012865171799063223
came,225,70.0,0.0004501809727510459
medical,408,379.0,0.0008163281639218966
imply,216,294.0,0.0004321737338410041
long,331,357.0,0.000662266231024872
neurologic,291,403.0,0.0005822340580913527
presence,785,479.0,0.0015706313938203158
explore,432,219.0,0.0008643474676820081
initiating,944,310.0,0.001888759281231055
medication,1089,380.0,0.002178875908115062
feature,1221,228.0,0.002442982078795676
accelerates,834,5.0,0.001668670805663877
considering,838,118.0,0.0016766740229572287
evolved,300,212.0,0.0006002412970013946
two,1284,647.0,0.0025690327511659686
service,1297,561.0,0.0025950432073693626
identify,448,282.0,0.0008963603368554159
disposition,453,179.0,0.0009063643584721058
cold,543,94.0,0.0010864367475725242
survey,1620,608.0,0.0032413030038075307
supervision,340,604.0,0.0006802734699349138
england,477,194.0,0.0009543836622322174
synergism,183,612.0,0.0003661471911708507
dementia,257,152.0,0.0005142067110978614
subject,661,598.0,0.001322531657726406
stained,577,587.0,0.0011544640945660156
traditional,307,637.0,0.0006142469272647605
apulia,569,50.0,0.0011384576599793117
site,892,573.0,0.0017847174564174799
remains,1623,521.0,0.0032473054167775446
useful,301,654.0,0.0006022421013247326
intervention,204,326.0,0.0004081640819609483
silico,281,570.0,0.0005622260148579729
list,303,353.0,0.0006062437099714085
line,335,350.0,0.0006702694483182239
primary,905,484.0,0.0018107279126208737
delivery,1408,151.0,0.0028171324872598787
prenatal,345,477.0,0.0006902774915516038
sedimentation,573,551.0,0.0011464608772726636
activation,317,14.0,0.0006342549704981403
acceptance,447,7.0,0.0008943595325320778
failure,394,227.0,0.0007883169033951648
consequence,298,116.0,0.0005962396883547186
dentist,1070,157.0,0.0021408606259716405
assistant,969,55.0,0.0019387793893145045
enrolled,282,195.0,0.0005642268191813109
level,1235,345.0,0.0024709933393224077
performed,531,444.0,0.0010624270956924684
lavage,327,341.0,0.00065426301373152
exaggerated,353,214.0,0.0007062839261383076
northern,804,413.0,0.0016086466759637375
additionally,302,18.0,0.0006042429056480705
course,566,134.0,0.0011324552470092977
frequency,1130,243.0,0.0022609088853719197
determinant,804,163.0,0.0016086466759637375
hiv,5298,274.0,0.010600261305044628
intensified,216,319.0,0.0004321737338410041
interleukin,820,324.0,0.001640659545137145
therapy,2020,629.0,0.004041624733142723
selective,304,554.0,0.0006082445142947465
connected,199,114.0,0.0003981600603442584
fibrosis,837,231.0,0.0016746732186338907
preexisting,347,474.0,0.0006942791001982797
stool,559,592.0,0.0011184496167459318
data,887,145.0,0.00177471343480079
researcher,330,528.0,0.000660265426701534
modulators,838,388.0,0.0016766740229572287
association,597,57.0,0.001194480181032775
routine,602,545.0,0.0012044842026494652
mass,448,375.0,0.0008963603368554159
within,1268,675.0,0.002537019881992561
le,462,342.0,0.0009243715973821477
integration,1643,318.0,0.003287321503244304
north,437,412.0,0.0008743514892986981
pressure,1035,481.0,0.0020708324746548114
phase,499,449.0,0.000998401357345653
load,321,356.0,0.0006422581877914921
consequent,781,117.0,0.0015626281765269638
drug,2855,190.0,0.005712296343129938
characteristic,1467,82.0,0.0029351799423368193
found,1260,240.0,0.002521013447405857
reasonable,312,503.0,0.0006242509488814503
chain,394,78.0,0.0007883169033951648
negative,1138,401.0,0.0022769153199586234
adherence,2202,21.0,0.004405771119990236
epidemiology,776,200.0,0.001552624154910274
natal,362,396.0,0.0007242911650483494
descriptive,489,159.0,0.0009783933141122732
five,328,236.0,0.000656263818054858
syndrome,552,611.0,0.001104443986482566
ddi,1861,146.0,0.003723496845731984
may,1984,376.0,0.003969595777502556
commercial,564,100.0,0.0011284536383626218
individual,3660,303.0,0.0073229438234170136
phone,397,451.0,0.0007943193163651788
coinfection,1541,93.0,0.00308323946226383
neurological,906,404.0,0.0018127287169442117
worker,573,678.0,0.0011464608772726636
increased,1604,300.0,0.003209290134634123
analytes,445,43.0,0.0008903579238854019
spectrometry,470,584.0,0.0009403780319688515
experience,431,218.0,0.0008623466633586701
population,1425,460.0,0.0028511461607566243
documented,837,184.0,0.0016746732186338907
regulates,294,512.0,0.0005882364710613667
closely,217,90.0,0.0004341745381643421
yet,189,683.0,0.00037815201711087856
region,1748,511.0,0.0034974059571947925
control,998,128.0,0.001996802714691306
play,394,455.0,0.0007883169033951648
shiraz,474,566.0,0.0009483812492622034
developed,531,169.0,0.0010624270956924684
criterion,894,135.0,0.0017887190650641557
insufficiency,182,315.0,0.0003641463868475127
undergoing,533,649.0,0.0010664287043391444
belief,697,64.0,0.0013945606133665734
october,512,422.0,0.0010244118135490467
containing,601,122.0,0.0012024833983261271
perspective,187,447.0,0.00037415040846420263
three,428,631.0,0.0008563442503886562
insertion,404,313.0,0.0008083249466285447
general,938,251.0,0.001876754455291027
tuberculosis,886,646.0,0.001772712630477452
study,2831,597.0,0.0056642770393698265
york,1296,684.0,0.0025930424030460243
even,564,209.0,0.0011284536383626218
absolute,899,3.0,0.0017987230866808458
part,305,433.0,0.0006102453186180844
iii,276,283.0,0.000552221993241283
hdv,1585,265.0,0.0031712748524907013
volunteer,681,669.0,0.0013625477441931656
nnrti,658,408.0,0.0013165292447563921
fitness,294,235.0,0.0005882364710613667
variant,1075,662.0,0.0021508646475883303
phospholipase,868,452.0,0.0017366981526573684
validated,972,661.0,0.0019447818022845184
env,301,196.0,0.0006022421013247326
low,717,359.0,0.001434576699833333
error,1223,203.0,0.002446983687442352
tat,865,615.0,0.0017306957396873543
first,830,234.0,0.001660667588370525
combination,859,99.0,0.0017186909137473264
knowledge,2539,338.0,0.005080042176955136
hypothesized,1116,279.0,0.002232897624845188
mode,497,385.0,0.000994399748698977
insecurity,904,312.0,0.0018087271082975356
virus,1895,668.0,0.0037915241927254754
increasing,894,301.0,0.0017887190650641557
incidence,1432,298.0,0.00286515179101999
italy,1132,336.0,0.0022649104940185953
year,788,682.0,0.0015766338067903297
infected,1111,304.0,0.002222893603228498
group,1562,258.0,0.0031252563530539275
interquartile,318,325.0,0.0006362557748214782
ctls,925,139.0,0.0018507439990876333
pill,404,453.0,0.0008083249466285447
result,1367,537.0,0.002735099510003021
using,527,656.0,0.0010544238783991165
haartin,885,261.0,0.001770711826154114
introduction,742,327.0,0.0014845968079167824
polymorphism,1073,459.0,0.0021468630389416547
fingerprint,928,233.0,0.0018567464120576472
analyzed,788,44.0,0.0015766338067903297
ltc,434,360.0,0.0008683490763286842
determined,645,166.0,0.0012905187885529983
social,440,575.0,0.0008803539022687121
relevance,871,518.0,0.0017427005656273822
resistance,1694,530.0,0.0033893625237345413
concentrated,529,107.0,0.0010584254870457924
resulted,598,538.0,0.001196480985356113
cart,1725,72.0,0.0034513874577580188
utilizing,299,659.0,0.0005982404926780565
ability,313,2.0,0.0006262517532047883
decrease,805,148.0,0.0016106474802870755
questionnaire,689,498.0,0.0013785541787798695
expression,1205,221.0,0.002410969209622268
insulin,842,317.0,0.0016846772402505808
liver,2054,354.0,0.004109652080136215
already,310,34.0,0.0006202493402347744
clone,285,89.0,0.0005702292321513249
oh,903,424.0,0.0018067263039741976
mechanism,557,377.0,0.001114448008099256
full,447,244.0,0.0008943595325320778
implementation,950,293.0,0.0019007641071710829
injury,746,311.0,0.0014926000252101345
cause,852,75.0,0.0017046852834839605
sex,1127,564.0,0.0022549064724019055
defect,307,150.0,0.0006142469272647605
constituted,331,120.0,0.000662266231024872
complication,1155,105.0,0.002310928993455369
unclear,724,648.0,0.0014485823300966988
receptor,330,506.0,0.000660265426701534
nested,371,402.0,0.0007422984039583912
thematically,427,627.0,0.0008543434460653183
whether,784,674.0,0.0015686305894969778
woman,617,676.0,0.0012344962674995347
nucleoside,315,416.0,0.0006302533618514643
aid,1186,29.0,0.0023729539274788465
tenofovir,503,622.0,0.0010064045746390048
epidemic,558,198.0,0.001116448812422594
prisoner,567,486.0,0.0011344560513326357
evolving,461,213.0,0.0009223707930588096
current,166,140.0,0.000332133517674105
symptom,336,610.0,0.000672270252641562
aim,1111,30.0,0.002222893603228498
column,478,98.0,0.0009563844665555554
compared,1147,102.0,0.0022949225588686653
single,894,572.0,0.0017887190650641557
patient,7163,437.0,0.014331761368069964
active,1549,15.0,0.003099245896850534
reaction,414,502.0,0.0008283329898619245
lead,297,343.0,0.0005942388840313806
factor,1671,225.0,0.0033433440242977676
number,344,418.0,0.0006882766872282658
however,1698,277.0,0.0033973657410278934
immunocompromised,551,287.0,0.001102443182159228
native,298,397.0,0.0005962396883547186
sp,270,580.0,0.000540217167301255
interacting,283,321.0,0.0005662276235046488
suggested,707,603.0,0.0014145686565999532
retrospective,810,539.0,0.0016206515019037654
concern,1150,109.0,0.002300924971838679
isolates,623,335.0,0.0012465010934395626
haart,1667,260.0,0.003335340807004416
rna,309,543.0,0.0006182485359114364
main,407,366.0,0.0008143273595985586
reported,408,524.0,0.0008163281639218966
normal,1567,411.0,0.0031352603746706174
tbas,2084,617.0,0.004169676209836354
jail,1331,337.0,0.002663070554362854
evaluated,1159,208.0,0.002318932210748721
snp,1465,574.0,0.0029311783336901437
next,164,406.0,0.000328131909027429
pattern,1904,438.0,0.0038095314316355174
treatment,1336,645.0,0.0026730745759795437
linked,972,352.0,0.0019447818022845184
occurring,311,421.0,0.0006222501445581123
nucleos,899,415.0,0.0017987230866808458
develop,356,168.0,0.0007122863391083215
user,205,655.0,0.0004101648862842863
attitude,634,60.0,0.0012685099409962806
done,611,185.0,0.0012224914415595069
mutation,3016,394.0,0.006034425839187354
seems,724,552.0,0.0014485823300966988
risk,1064,542.0,0.002128855800031613
cryptosporidiosis,543,136.0,0.0010864367475725242
iran,560,332.0,0.0011204504210692698
development,291,170.0,0.0005822340580913527
province,350,495.0,0.0007002815131682936
context,724,123.0,0.0014485823300966988
precision,467,470.0,0.0009343756189988375
structure,309,595.0,0.0006182485359114364
alone,462,33.0,0.0009243715973821477
necessary,321,400.0,0.0006422581877914921
method,1551,383.0,0.00310324750549721
drexelmed,298,187.0,0.0005962396883547186
successfully,490,601.0,0.000980394118435611
testing,296,626.0,0.0005922380797080426
separated,485,555.0,0.0009703900968189212
multiple,285,392.0,0.0005702292321513249
antiretroviral,1756,46.0,0.003513412391781496
misconception,508,384.0,0.0010164085962556949
resident,520,529.0,0.0010404182481357506
changed,809,81.0,0.0016186506975804274
collected,179,97.0,0.0003581439738774988
abaqulusi,308,1.0,0.0006162477315880984
demonstrated,1379,154.0,0.002759109161883077
art,606,52.0,0.001212487419942817
new,2036,405.0,0.004073637602316131
time,470,634.0,0.0009403780319688515
diarrhoeal,595,174.0,0.0011904785723860993
reveal,322,540.0,0.0006442589921148302
downmodulate,334,186.0,0.0006682686439948859
stop,396,593.0,0.0007923185120418409
surrogate,906,607.0,0.0018127287169442117
thus,283,633.0,0.0005662276235046488
naÃ¯ve,291,,0.0005822340580913527
adverse,867,26.0,0.0017346973483340303
concluded,448,110.0,0.0008963603368554159
interaction,1004,322.0,0.002008807540631334
evolution,1013,210.0,0.0020268147795413755
world,741,679.0,0.0014825960035934446
gene,1353,250.0,0.0027070882494762893
rural,313,547.0,0.0006262517532047883
stigma,409,590.0,0.0008183289682452345
health,1714,266.0,0.003429378610201301
management,621,370.0,0.0012424994847928868
encourage,186,193.0,0.0003721496041408646
orally,486,427.0,0.0009723909011422592
diagnosed,698,171.0,0.0013965614176899112
era,282,202.0,0.0005642268191813109
use,1690,652.0,0.0033813593064411893
suggest,338,602.0,0.0006762718612882379
sexual,639,565.0,0.0012785139626129705
outcome,2071,430.0,0.00414366575363296
fgs,443,230.0,0.000886356315238726
detect,388,160.0,0.000776312077455137
administrated,446,23.0,0.0008923587282087399
faced,462,223.0,0.0009243715973821477
heterosexual,1218,269.0,0.002436979665825662
rate,754,501.0,0.0015086064597968384
hbv,3434,263.0,0.00687076204634263
onset,562,426.0,0.0011244520297159458
subset,318,599.0,0.0006362557748214782
western,339,673.0,0.0006782726656115759
formal,344,239.0,0.0006882766872282658
inhibition,827,308.0,0.001654665175400511
manageable,412,369.0,0.0008243313812152486
nigerian,909,407.0,0.0018187311299142255
complex,412,104.0,0.0008243313812152486
access,927,8.0,0.0018547456077343091
test,1121,625.0,0.002242901646461878
men,1687,381.0,0.0033753568934711754
longitudinal,424,358.0,0.0008483410330953043
hbsag,1152,262.0,0.002304926580485355
cytolytic,345,143.0,0.0006902774915516038
hepatitis,2173,268.0,0.004347747794613435
utilized,315,658.0,0.0006302533618514643
four,474,241.0,0.0009483812492622034
hence,302,267.0,0.0006042429056480705
analysis,286,42.0,0.0005722300364746628
participant,572,434.0,0.0011444600729493255
important,276,296.0,0.000552221993241283
diagnosis,573,172.0,0.0011464608772726636
beneficial,343,65.0,0.0006862758829049277
genetic,1145,252.0,0.0022909209502219893
portal,804,461.0,0.0016086466759637375
basal,282,63.0,0.0005642268191813109
acquired,511,12.0,0.0010224110092257087
address,197,19.0,0.0003941584516975824
treated,509,644.0,0.0010184094005790327
qualitative,409,496.0,0.0008183289682452345
pr,647,467.0,0.0012945203971996744
distinguishing,939,181.0,0.001878755259614365
particularly,891,436.0,0.0017827166520941419
alteration,316,36.0,0.0006322541661748023
problem,395,487.0,0.0007903177077185028
europe,703,207.0,0.0014065654393066013
applied,486,49.0,0.0009723909011422592
recorded,444,509.0,0.0008883571195620639
role,413,544.0,0.0008263321855385865
host,730,276.0,0.0014605871560367267
especially,1198,205.0,0.0023969635793589022
take,192,614.0,0.0003841544300808925
condition,897,111.0,0.0017947214780341697
ten,776,621.0,0.001552624154910274
theme,425,628.0,0.0008503418374186423
central,625,77.0,0.0012505027020862387
marseille,702,374.0,0.0014045646349832633
proliferative,327,489.0,0.00065426301373152
impede,177,292.0,0.0003541423652308228
ethiopian,603,206.0,0.0012064850069728032
directly,756,176.0,0.0015126080684435142
consecutively,303,115.0,0.0006062437099714085
still,332,591.0,0.00066426703534821
naturally,296,398.0,0.0005922380797080426
intention,539,320.0,0.0010784335302791723
lymphocyte,1859,365.0,0.003719495237085308
codon,385,91.0,0.000770309664485123
would,328,681.0,0.000656263818054858
highly,736,271.0,0.0014725919819767546
cell,3716,76.0,0.007434988865523941
food,1298,238.0,0.0025970440116927004
received,449,504.0,0.0008983611411787539
well,339,671.0,0.0006782726656115759
source,477,578.0,0.0009543836622322174
perform,1560,443.0,0.0031212547444072515
resource,555,531.0,0.00111044639945258
apart,178,47.0,0.00035614316955416076
specific,679,582.0,0.0013585461355464896
contracting,513,125.0,0.0010264126178723848
recognition,442,508.0,0.000884355510915388
america,621,38.0,0.0012424994847928868
response,1339,534.0,0.0026790769889495575
addition,316,17.0,0.0006322541661748023
correlated,305,129.0,0.0006102453186180844
audio,595,61.0,0.0011904785723860993
termed,467,623.0,0.0009343756189988375
position,850,462.0,0.0017006836748372845
poverty,188,466.0,0.0003761512127875406
detection,999,162.0,0.0019988035190146437
birth,347,66.0,0.0006942791001982797
concentration,485,108.0,0.0009703900968189212
prevalence,2195,482.0,0.00439176548972687
interfere,213,323.0,0.00042617132087099013
studied,710,596.0,0.0014205710695699672
examined,424,215.0,0.0008483410330953043
amplified,704,41.0,0.0014085662436299393
impact,1212,290.0,0.002424974839885634
fg,394,229.0,0.0007883169033951648
status,841,589.0,0.0016826764359272428
clinic,312,87.0,0.0006242509488814503
assessment,643,54.0,0.0012865171799063223
stand,404,588.0,0.0008083249466285447
sampling,304,549.0,0.0006082445142947465
case,1727,73.0,0.003455389066404695
expansion,309,217.0,0.0006182485359114364
aimed,410,31.0,0.0008203297725685726
least,182,344.0,0.0003641463868475127
predict,301,471.0,0.0006022421013247326
extraction,482,222.0,0.0009643876838489072
determine,385,165.0,0.000770309664485123
ctl,338,138.0,0.0006762718612882379
substitution,371,600.0,0.0007422984039583912
regarding,369,510.0,0.0007382967953117153
threshold,261,632.0,0.0005222099283912132
december,540,147.0,0.00108043433460251
envelope,317,197.0,0.0006342549704981403
prediction,298,473.0,0.0005962396883547186
variety,372,663.0,0.0007442992082817292
respondent,529,533.0,0.0010584254870457924
used,977,653.0,0.0019547858239012082
also,464,35.0,0.0009283732060288236
major,553,368.0,0.0011064447908059039
remain,672,520.0,0.001344540505283124
liguria,811,346.0,0.0016226523062271034
significant,331,568.0,0.000662266231024872
achieve,192,10.0,0.0003841544300808925
pregnancy,346,475.0,0.0006922782958749417
good,331,257.0,0.000662266231024872
one,309,425.0,0.0006182485359114364
organization,275,429.0,0.000550221188917945
demonstrate,199,153.0,0.0003981600603442584
molecular,275,389.0,0.000550221188917945
vaccination,833,660.0,0.0016666700013405389
nongenetic,388,410.0,0.000776312077455137
practice,320,468.0,0.0006402573834681542
spectrum,310,585.0,0.0006202493402347744
change,854,80.0,0.0017086868921306366
derived,604,158.0,0.001208485811296141
peripheral,612,445.0,0.0012244922458828449
plan,1246,454.0,0.0024930021868791253
viral,867,667.0,0.0017346973483340303
replacement,375,523.0,0.0007503016212517432
rt,623,546.0,0.0012465010934395626
function,240,246.0,0.00048019303760111565
independent,865,302.0,0.0017306957396873543
advance,452,24.0,0.0009043635541487678
conducted,1081,113.0,0.0021628694735283584
participated,639,435.0,0.0012785139626129705
influence,758,306.0,0.0015166096770901903
lack,412,340.0,0.0008243313812152486
frameshift,419,242.0,0.0008383370114786144
transitional,1315,642.0,0.002631057685189446
modified,533,387.0,0.0010664287043391444
district,337,182.0,0.0006742710569648999
staff,404,586.0,0.0008083249466285447
ltcs,853,361.0,0.0017066860878072986
manually,451,371.0,0.0009023627498254298
epidemiologically,938,199.0,0.001876754455291027
contrast,319,126.0,0.0006382565791448162
accelerated,862,4.0,0.0017246933267173403
protozoan,563,494.0,0.0011264528340392838
genomic,306,253.0,0.0006122461229414224
adjusting,389,22.0,0.000778312881778475
relation,370,515.0,0.0007402975996350533
investigate,522,328.0,0.0010444198567824265
sequence,574,556.0,0.0011484616815960016
instruction,188,314.0,0.0003761512127875406
appeared,207,48.0,0.00041416649493096225
account,198,9.0,0.00039615925602092043
practicing,374,469.0,0.0007483008169284053
solid,465,576.0,0.0009303740103521616
condom,574,112.0,0.0011484616815960016
respectively,317,532.0,0.0006342549704981403
plwh,568,456.0,0.0011364568556559737
difference,325,175.0,0.0006502614050848441
likely,404,347.0,0.0008083249466285447
repeat,305,522.0,0.0006102453186180844
informed,164,307.0,0.000328131909027429
limit,316,348.0,0.0006322541661748023
currently,309,141.0,0.0006182485359114364
ga,188,247.0,0.0003761512127875406
metabolite,443,382.0,0.000886356315238726
addressing,583,20.0,0.0011664689205060435
mutant,385,393.0,0.000770309664485123
marker,1404,373.0,0.0028091292699665266
altered,285,37.0,0.0005702292321513249
sequenced,317,557.0,0.0006342549704981403
proportion,283,491.0,0.0005662276235046488
significantly,941,569.0,0.001882756868261041
facility,335,224.0,0.0006702694483182239
regulating,293,513.0,0.0005862356667380287
ltrs,592,363.0,0.0011844761594160852
afford,914,27.0,0.0018287351515309154
occult,1366,420.0,0.0027330987056796833
counting,209,132.0,0.00041816810357763823
transcribed,443,639.0,0.000886356315238726
proper,281,490.0,0.0005622260148579729
mycobacterium,910,395.0,0.0018207319342375635
premature,422,476.0,0.0008443394244486283
disruptive,168,180.0,0.000336135126320781
many,528,372.0,0.0010564246827224543
compare,993,101.0,0.001986798693074616
limited,907,349.0,0.0018147295212675495
synergistic,200,613.0,0.00040016086466759636
cytotoxic,309,144.0,0.0006182485359114364
predicting,278,472.0,0.000556223601887959
fumarate,521,245.0,0.0010424190524590884
disoproxyl,492,178.0,0.000984395727082287
technique,533,619.0,0.0010664287043391444
guatemala,599,259.0,0.0011984817896794511
atlanta,195,58.0,0.00039015684305090644
advanced,291,25.0,0.0005822340580913527
reverse,1515,541.0,0.0030312185498570427
hilic,463,272.0,0.0009263724017054856
utilization,350,657.0,0.0007002815131682936
polymerase,372,458.0,0.0007442992082817292
phc,337,450.0,0.0006742710569648999
esi,449,204.0,0.0008983611411787539
continue,537,124.0,0.0010744319216324963
focus,1018,237.0,0.0020368188011580654
transcriptional,294,641.0,0.0005882364710613667
exceeding,314,216.0,0.0006282525575281264
area,1165,51.0,0.0023309370366887488
view,446,666.0,0.0008923587282087399
detrimental,197,167.0,0.0003941584516975824
mainly,335,367.0,0.0006702694483182239
unscheduled,199,651.0,0.0003981600603442584
tool,347,635.0,0.0006942791001982797
policy,404,457.0,0.0008083249466285447
percentage,327,441.0,0.00065426301373152
terminal,292,624.0,0.0005842348624146908
moderate,202,386.0,0.00040416247331427234
equipped,433,201.0,0.0008663482720053462
tdf,458,618.0,0.0009163683800887957
median,293,378.0,0.0005862356667380287
living,194,355.0,0.0003881560387275685
research,179,527.0,0.0003581439738774988
allow,289,32.0,0.0005782324494446767
