                0                 1                 2                 3                 4
       individual          activity           patient               ddi             found
        surrogate          position         frequency           context               ctl
              men        prevalence              york               hdv            shiraz
         nigerian        disruptive              cart          pressure           however
           sought           nucleos            dental             found  immunodeficiency
           normal           primary            sample      thematically        laboratory
 immunodeficiency           country               men              york            office
             case     comprehensive       integration          training        regulating
              ass            orally             woman         criterion        homogenate
          unclear          detected            result               hiv           ability
          therapy      polymorphism             class        medication     nonfunctional
    comprehensive           patient                pr            impede             swarm
       prevalence             virus          activity           therapy          dementia
         activity          manually       fingerprint              care          evolving
       population        individual           remains                oh       recognition
              aim         influence               via               ten             aimed
          address              food        acceptable      thematically            living
            hilic       determinant             hbsag        nucleotide      heterosexual
          country               low              risk            clinic         hepatitis
       manageable             nnrti          observed               pcr         treatment
            phone            people        lymphocyte        associated     transcriptase
            phase             haart              cell          absolute              cart
         recorded     transcriptase          colinear          manually          required
           normal          improves             count          absolute         amplified
             take      tuberculosis              drug        resistance            status
             ltcs        presenting        laboratory           patient            sought
      accelerated             alone           support        peripheral             swarm
            count          northern           perform          negative           adverse
       associated          decrease           however             haart            worked
       inhibition              drug           related             study          delivery
             acid          envelope           pattern           patient              time
             food          mutation               hiv            sample         frequency
       insecurity         intention             curve        consequent          informed
             drug               hiv             among           illness immunocompromised
           people     nonfunctional          moreover         infection       coinfection
         district        metabolite       disposition    implementation           western
         pressure           patient epidemiologically          selected          evolving
        diagnosis         catchment              ctls     phospholipase         knowledge
       lymphocyte          explored     nonfunctional              cart            immune
             food            remain            sexual           patient        individual
        determine          increase              play              cart              done
              new       qualitative       integration          genotype             level
      restoration        presenting         hepatitis             imply           therapy
            virus               ass          spectrum           nucleos   cryptosporidium
     electrospray        regulating        containing              site        laboratory
     thematically         assistant      thematically        assessment            linked
 pharmacokinetics             virus         increased           patient              view
         pressure              stop       investigate              part            impact
          haartin       preexisting          enrolled             world         treatment
         presence           reverse           liguria       accelerates              plwh
          suggest           remains               tat               hbv        laboratory
              hbv              jail         adherence           serious            impede
         resulted              mass        lymphocyte         validated       determinant
       undergoing        population            normal     misconception           limited
           worked          prenatal              ctls        resistance      polymorphism
          patient        undergoing            impact           dentist            immune
          protein           patient               ide         inhibitor               hiv
              aid           concern               hiv          identify       combination
     concentrated   cryptosporidium             hbsag               hbv             serum
        relevance      transitional         guatemala                le           disease
   antiretroviral         evaluated           general           outcome           explore
          patient             haart        lymphocyte            people            region
              hbv          manually             phone           atlanta  immunodeficiency
     organization          directly         genotypic           stained             virus
              tdf            health              full         diagnosis      spectrometry
          surface            reveal      investigated              care           patient
            found          attitude        beneficial              also           context
            viral           complex           protein     phospholipase          function
         absolute             hence         guatemala       constituted        acceptable
          adverse               hcv           perform              care         increased
        conducted           disease               env         infection      epidemiology
     introduction         assistant           nucleos           iranian         influence
         nigerian          resulted            higher         knowledge              role
            serum            useful             amino         treatment             liver
        increased              jail            immune          increase              case
          disease                oh               hbv             haart           therapy
        marseille           reverse             theme         evolution             curve
          central             order      simultaneous           perform      heterosexual
              ass     transcriptase        expression         infection            marker
       inhibition           patient               use            linear               aim
       laboratory            shiraz         volunteer              take          attitude
            paper         detection             blood               ddi            office
            first           country           patient           patient       vaccination
      supervision        ionization      tuberculosis           poverty          identify
     demonstrated        management               ten               aim           control
             gene         detection               via               ass          colinear
            found           limited        prevalence              next            active
            staff        proportion        individual         incidence              gene
               ir           limited          relative      thematically      investigated
            imply          prisoner        individual            method               hiv
           policy         detection         criterion             staff          relation
             gene            people           pattern          resulted        especially
         fibrosis           disease       development           western         adherence
       respondent         precision               hdv        laboratory          response
       respondent       consequence               hdv        insecurity          genotype
         negative           service        lymphocyte       combination             could
           strain              tbas           changed       combination               tat
          variant           pattern          december         attendant            dental
             year             study         criterion        difference            social
             lung             natal          directly        laboratory               hbv
         resource                rt               hiv              tbas        polymerase
           source              drug               snp              host       mononuclear
              hbv            survey         increased         volunteer             count
            serum       traditional         infection        commercial            sample
              hbv              jail         interfere            deemed           western
         moreover         relevance         treatment       disposition         knowledge
             ltrs              stop           stained      complication            strain
       importance              tbas     comprehensive           compare           october
              hiv      longitudinal             haart           remains              view
       prevalence           applied             hbsag                rt             italy
            among               sex             group           treated             natal
           within          specific          modified              ctls              take
             lack        sequencing           routine       development        especially
         training        especially       accelerates              test          response
          pattern           treated            occult           dentist     questionnaire
           shiraz              year       perspective     transcriptase               hbv
              new             group           adverse        identified          explored
       correlated              user               use                fg           closely
          iranian               hbv         amplified         adherence        individual
        diagnosis        individual         suggested        impairment             among
    misconception            active          continue           fitness             phase
              hiv               esi      heterosexual          selected         completed
         required        individual      tuberculosis     concentration         potential
             data            health          specific         treatment            people
        frequency        insecurity      concentrated          response               ddi
     particularly            method             using        assessment      downmodulate
        validated        individual   transcriptional              food          syndrome
            study             hbsag              food        especially              risk
          disease          clinical              mass               ass       vaccination
    comprehensive       considering      respectively         pregnancy             error
           linear        insecurity           disease              care           variety
         nigerian         knowledge         criterion           reverse           nucleos
        influence      longitudinal      hypothesized           pattern      introduction
             cart            policy            within              acid        resistance
          pattern          evolving            office             group        lymphocyte
       acceptable            silico            lavage            gather  pharmacokinetics
              ass        regulating          directly          improves        modulators
          stained      transmission           primary          decrease             using
            hbsag    characteristic              cart        commercial             hilic
          general               may       replacement              care            apulia
         relative            condom           compare         increased         separated
    insufficiency           therapy            orally             seven               ddi
           higher         determine           compare          nigerian          prenatal
        concluded             found          resident        initiating        diarrhoeal
       reciprocal           october              full        presenting             rural
      accelerated               new             naïve          northern           however
         increase            condom             aging            worked               ass
        adherence            detect             virus         developed               snp
       associated       disposition         hepatitis        metabolite            higher
      coinfection             hence          improves  immunodeficiency  immunodeficiency
       proportion        containing           therapy             serum             class
        influence          identify               aid                oh            dental
        knowledge       considering               men         precision            region
          service           fitness     misconception       combination       descriptive
      instruction           failure             study      demonstrated         immigrant
          develop           however           pattern               aid               two
            count      investigated              mass           general         immigrant
            still             virus        laboratory          analytes           remains
               tb               art        reciprocal         increased         worldwide
         december             could               low cryptosporidiosis         inhibitor
       population            active            immune         relevance             paper
         presence          analysis               may        prevalence           context
            seven              case            higher               aid     concentration
             ltrs        individual     administrated          clinical         detection
       individual            afford             seems      heterosexual              jail
          changed      longitudinal              risk        insecurity         interfere
             tbas         conducted              tbas      epidemiology          required
          control          delivery              plwh     nonfunctional                ir
       especially              tbas               ass             stand          fibrosis
        insertion        expression               hiv           patient      demonstrated
         identify        addressing                pr    characteristic             nnrti
          routine      tuberculosis              care       combination              drug
     epidemiology         treatment              care     comprehensive          response
      restoration           contact               may              cell          syndrome
       individual            within            useful               men         pregnancy
        incidence          negative       descriptive         marseille        resistance
            order     mycobacterium          protease               use      neurological
             jail              cell       considering          mutation        addressing
         mutation         separated           america           perform             group
             show       constituted            people             chain           dentist
   antiretroviral          receptor              test            change        undergoing
              ddi      neurological              plan               men              cold
            south               rna       constituted           evolved       interleukin
       researcher          mutation          northern      epidemiology              gene
           higher            survey           patient      simultaneous             chain
        developed     transcriptase          delivery               ass            cohort
        immigrant        practicing       coinfection         intention            effect
           remain         influence       contracting          epidemic        consequent
         advanced      complication        specialist          colinear         cirrhosis
            viral               hiv              user        management        homogenate
      progression               hdv           outcome      participated        increasing
         protease               hiv          epidemic               use              gene
          patient         hepatitis         necessary           patient           address
        regulates        acceptance          mutation      additionally           patient
          patient             faced              full epidemiologically        consequent
          remains       specificity          improves          improves            method
        ethiopian            immune              lung          syndrome              city
              tdf            social             virus          released           pattern
         mutation            survey            likely           general          released
            seems         potential        reasonable            linked              drug
         isolates          infected  immunodeficiency          observed            europe
       lymphocyte            normal            occult            normal       specificity
              via       interaction           patient           advance              rate
       manageable            health        disoproxyl         relevance         detection
      parasitosis        diarrhoeal          absolute       disposition           outcome
         pressure           general               ide            result            portal
          however         adherence              long        determined             human
         fibrosis       restoration          position             cause            dental
          primary               aim      organization          delivery          possible
         resource      demonstrated              case               may        metabolite
          context          observed            worked               hcv       integration
           linked             hence              cell         completed   cryptosporidium
          achieve               hbv            immune     transcriptase      transmission
             data            survey       replacement            clinic         incidence
      descriptive          specific           reverse         increased        prevalence
             data         hepatitis       progression        prevalence          response
         activity            sample              vary           america           whether
        inhibitor           patient             study       immunologic           liguria
             york            immune              nrti              year        lymphocyte
       lymphocyte            method          nigerian               aid              role
          adverse         genotypic         evaluated           remains       progression
              men             paper              cart              used          directly
           worked           perform          fumarate           patient              york
cryptosporidiosis            region          continue       detrimental               may
      disposition        alteration              care       consequence         assistant
         activity           suggest              used      complication             hbsag
           linked              west      transmission              tbas       interacting
           worker           routine            nested           nucleos               hbv
           access             staff      complication              care           however
        premature          resulted          severity             blood              tbas
      coinfection         adherence             study            dental              host
       management               low        difference             found            portal
        evolution            afford      demonstrated              plan               men
        incidence            effect       parasitosis               ddi          isolates
            north              cell            useful         incidence      transitional
        naturally               ltc            method            faecal      transmission
              drm           haartin           treated          activity               yet
          medical      participated           surface        population        practicing
           cohort            choice         tenofovir              show         adherence
             cell           liguria             blood             focus          directly
            amino           routine            strain         cirrhosis        reasonable
       telomerase      demonstrated         influence             virus             clone
             drug               art         infection               aim          clinical
          haartin           pattern               may              food         infection
             well          absolute      demonstrated          prisoner               hiv
         modified           derived          multiple             cause        reciprocal
       especially         challenge              cell              tbas            europe
         mutation             virus           patient               snp             viral
        adjusting        thoroughly           outcome               tat          severity
          however       coinfection       consequence         attendant               era
     transmission           compare          attitude           remains        contribute
         attitude           poverty          analytes          increase             count
           factor               tdf              drug           antigen           serious
           method            stigma              lung      epidemiology           reverse
       manageable             aging          fibrosis         technique      transitional
          outcome          fibrosis        metabolite         incidence     comprehensive
          compare           unclear       exaggerated             genus             hilic
              fgs             virus       fingerprint          moreover       progression
      unscheduled       coinfection              case         evaluated            remain
         activity        insecurity          directly         developed      transmission
           office      participated      heterosexual epidemiologically             aging
        infection        percentage             liver         increased           altered
     hypothesized              case       interaction           fitness           unclear
             risk               hiv         incidence      heterosexual         adherence
             plan      transmission            marker             hbsag          analytes
            theme        increasing           october        addressing   cryptosporidium
        hepatitis            within             range               aim            unique
        ethiopian      particularly           explore          attitude        sequencing
        performed          research        especially         connected     insufficiency
           repeat        containing          resident      substitution      investigated
        conducted               hiv            stigma         guatemala         increased
         syndrome           address              vary              care        importance
              hbv               dna            marker              cell        prevalence
        structure              plwh            method             class           outcome
      progression        medication          decrease              gene             among
          therapy     concentration          attitude           whether            normal
           lavage         drexelmed     consecutively          prenatal               hdv
     substitution        individual              vary               ass        represents
              use          analytes            injury            deemed         surrogate
        mechanism          nigerian              cell        regulating              week
              ddi            belief          backbone           central         activated
       laboratory       constituted          clinical        metabolite              also
             food         increased            health          northern          prepared
        knowledge          selected       recognition           remains             seven
       reciprocal               hdv            highly         infection              acid
            serum              data         surrogate            factor       disposition
             play              plan         infection             prior              ctls
          subject          multiple           disease            afford          isolated
          feature        determined             haart          isolated        ionization
        ethiopian        prevalence         occurring          increase         exceeding
         observed          isolates            within        represents       progression
          derived         suggested         separated           haartin          response
        postnatal              city               iii        increasing         knowledge
              snp           patient            factor                rt         precision
           sample            factor         ethiopian      transitional               hbv
            class              risk            clinic          specific            factor
            major          recorded              stop             first           patient
            count          specific          reliable          clinical      transitional
            error            occult            remain              tool             amino
         negative           outcome          advanced           iranian      epidemiology
          country           outcome            sought       integration        disruptive
               ir         mechanism               ten             total       determinant
        intention    characteristic          infected       supervision     phospholipase
           proper          terminal             imply           limited              year
             take       disposition          receptor               hbv         occurring
           source            mainly              acid           complex         volunteer
          patient            nested            sample               hiv           general
epidemiologically             range               pcr          required          prenatal
    comprehensive            cohort       unscheduled            highly      downmodulate
           column              plan         regulates        initiating             haart
              hdv            result               hiv      transmission              jail
            count           dentist             serum     transcriptase              jail
              tat              time          envelope            portal           subject
            virus      simultaneous        practicing      particularly         condition
           mainly           address        represents       recognition             count
         detected           iranian     significantly             haart              used
       experience          clinical           country       coinfection           patient
        hepatitis           therapy             human              case            portal
           defect          district             woman              pill               ctl
        infection             human         suggested         infection        nucleotide
             line       interleukin             curve               use            termed
          stained        expression         developed               iii       coinfection
           region        expression      introduction       supervision   cryptosporidium
             acid             study         interfere            effect      successfully
         analytes        associated               sex            occult             onset
             case               aid             could               new        associated
              hiv               iii         evaluated              plwh        insecurity
       neurologic     comprehensive         completed           failure             count
           people              cell        prevalence            dental         mechanism
           factor             seems           america               ide             study
   implementation           central           nucleos cryptosporidiosis          resident
          already                rt           patient             paper               sex
     transitional          epidemic           disease             count          clinical
              ltr               hbv             prior        especially       association
              ltr              cell         frequency          attitude            linked
          feature              cell     misconception              york         diarrhoea
       represents             blood            sought       combination           america
          liguria          relative             woman          manually               iii
             lack              line       interaction              main          backbone
              hdv       combination        undergoing        assessment        assessment
      considering             haart           support             audio              line
       metabolite           pattern          explored       accelerates        associated
         sampling     comprehensive          clinical              used               two
              ten       accelerated        identified     comprehensive          specific
            solid         guatemala              jail             world      tuberculosis
      interaction            worker          specific             would           genetic
          genetic              lung            region         adjusting            sector
        adherence        medication        thoroughly         inhibitor           adverse
         mutation     transcriptase               env          colinear         determine
          country            belief               dna     comprehensive              city
         increase           patient        lymphocyte         treatment        beneficial
            three             imply              city        prediction            repeat
         increase             blood      heterosexual              even    distinguishing
       resistance       detrimental             italy           patient            worker
           reveal         evaluated             human            highly         inhibitor
           people       progression           control        increasing            within
           afford           perform           surface         condition            health
          already   transcriptional               hdv               snp               hdv
      immunologic        consequent         infection           england             found
        treatment     transcriptase        alteration               pcr            region
          patient             found          examined  pharmacokinetics      epidemiology
      progression           service  immunodeficiency          clinical          clinical
     transitional     mycobacterium               may           variant            sought
    retrospective        respondent              main         relevance          resulted
            study           therapy               hiv       significant           complex
           linked       interleukin          genotype               dna           subject
     tuberculosis            impact           however          released         suggested
       thoroughly         drexelmed       instruction            access                oh
        inhibitor        acceptance            social             level           finding
         backbone            change       combination     interquartile            sector
             rate       unscheduled     comprehensive          position             virus
           survey              cell              food               fgs           service
         delivery                le         interfere              city               snp
         observed               hiv           illness            change             using
           survey          mutation          increase        insecurity       interleukin
           region             level         diagnosis           country           disease
         presence          clinical               hiv           concern         separated
            level        lymphocyte        insecurity                le       interaction
              may              care             solid              host              five
          protein            mainly         sequenced         infection             serum
         compared               ddi           however             clone            evolve
         decrease             seems             study       accelerates              risk
             drug         potential              acid           pattern      tuberculosis
        guatemala       coinfection           general          improves              list
            aging               pcr        addressing               hbv           service
         relation              next               snp        modulators              role
         detected epidemiologically         infection         cytolytic              full
           people        assessment     proliferative           perform            evolve
           gained         necessary              area         sequenced              used
       resistance             blood              line             count           finding
           higher               may           pattern      tuberculosis             human
           office              week            method           support           perform
        influence               ddi               env        determined               hiv
             line          mutation        individual              city           country
      specificity          activity            health        beneficial           therapy
       expression       fingerprint          negative           dentist           patient
             cart              area               men      polymorphism            europe
          patient     mycobacterium              cell           treated              care
            haart            health          appeared          protease        insecurity
        treatment             human             swarm              test            sexual
      fingerprint          protease         frequency       determinant              drug
              hiv    characteristic            worker          fumarate          reported
     epidemiology      tuberculosis           reverse     questionnaire            access
             plan           disease             study         insertion           variant
         facility            source        resistance              city             haart
         clinical              cell              cell         important              care
          problem            shiraz            portal              week         regulates
           faecal         occurring       interleukin              four      respectively
     tuberculosis               hiv      demonstrated           whether          response
               tb           reverse         assistant           antigen               hiv
        adjusting          previous         potential         evolution            termed
             york             human        prevalence          northern           adverse
              hiv               new              acid         hepatitis             human
             gene         mechanism          northern         incidence             theme
          patient              mode         postnatal             hbsag               hbv
          limited             virus              lead        researcher            faecal
          variety                rt              city    characteristic         synergism
       diarrhoeal              cart            unique               hiv            survey
              may              test      substitution           control        metabolite
           single              also         regulates            single        assessment
    comprehensive              data           reverse               may     determination
        regarding        population               hiv       coinfection              care
          however         worldwide             solid               new           feature
     transmission       determinant           complex             serum        resistance
              low          modified            status           protein             count
           immune        prevalence cryptosporidiosis       interaction         conducted
             view             naïve              site         infection             found
   characteristic        regulating             rural           remains              line
        infection              show             found            clinic         premature
              low              vary            health          utilized               sex
        technique         insertion             hence         infection       contracting
        naturally             natal      complication              used               hbv
        currently          infected            social            within           disease
          surface            factor               dna          district               snp
            clone             haart      transitional             error       recognition
        insertion           perform              came            median      participated
      recognition         treatment          epidemic   cryptosporidium            highly
              aid          modified         collected             seems             serum
       beneficial          terminal             study       responsible        undergoing
       modulators              data        management         regarding               hdv
            prior          mutation     retrospective         immigrant      neurological
             vary         adherence            termed      heterosexual              vary
      contracting           perform          explored          mutation        prevalence
          therapy              cell       coinfection         knowledge      epidemiology
       diarrhoeal              next        specialist               low        individual
          iranian              tool       replacement             found         premature
              two             major      simultaneous           complex          recorded
           survey        consequent               hbv       transcribed                pr
        worldwide            sample        nongenetic       interacting         necessary
              hbv           changed         conducted             paper        acceptable
        infection              cell        assessment           variant           patient
           sample              food      transmission         volunteer              show
           sample        represents          required          clinical            higher
           sample           therapy           routine             swarm         increased
     concentrated  pharmacokinetics              part         treatment           genetic
        pregnancy        nucleotide       interacting           liguria             among
       acceptance         diagnosed        telomerase       descriptive          receptor
      immunologic            higher           dentist      heterosexual        laboratory
        criterion            single        medication      polymorphism        addressing
             site            sought             stool               may           derived
           result           haartin             error           haartin              cart
     transmission           primary             error               yet         performed
    nonfunctional         encourage            status          decrease         influence
             line         amplified       coinfection           patient         technique
         moreover      transmission              gene         condition         worldwide
       medication        reciprocal         connected          relative        frameshift
          control  immunodeficiency          delivery            method     concentration
          remains               drm              cart                fg            factor
       modulators      substitution               men         cytolytic              line
              via          informed        undergoing              cart        reciprocal
           higher     phospholipase        laboratory              cold            factor
             stop             blood     retrospective          presence            access
         negative        manageable        containing       association           variety
         clinical           however              four          district         threshold
     complication             liver               esi            living      transmission
      coinfection             study              food               new      transmission
              men              risk                ir     demonstrating            dental
              hbv           however       significant              care       vaccination
    concentration            portal             italy            status           finding
         resource           illness        documented            region              risk
             cell             focus       accelerated        reciprocal            occult
        postnatal            marker     proliferative           collect        presenting
            nnrti          clinical      polymorphism                oh       specificity
